# Size   time [s]
  4032    41.0836   
  5904    108.1632   
  7776    255.7944   
  9648    400.4784   
  11520    627   
  3312    30.8003   
  4896    67.0338   
  6480    166.4807   
  8064    256.7741   
  9648    378.0990   
  2592    16.6283   
  3888    41.6042   
  5184    103.0673   
  6480    163.2877   
  7776    233.1758   
  1872    8.0444   
  2880    19.9212   
  3888    55.2295   
  4896    93.7660   
  5904    139.9355   
  1152    3.5410   
  1872    7.8480   
  2592    23.7104   
  3312    42.6016   
  4032    66.0658   
