# Size   time [s]
  4032    13.0650   
  5904    28.2971   
  7776    55.2087   
  9648    87.0541   
  11520    118.9792   
  3312    7.5043   
  4896    15.9066   
  6480    36.4956   
  8064    58.9988   
  9648    84.7377   
  2592    4.1527   
  3888    10.6265   
  5184    22.6150   
  6480    35.5361   
  7776    48.6049   
  1872    2.3435   
  2880    4.8647   
  3888    12.7068   
  4896    20.6586   
  5904    31.0881   
  1152    1.1827   
  1872    2.3438   
  2592    5.1367   
  3312    9.4097   
  4032    14.1089   
