# Size   Mem [Mb]
  4032     175.2410
  5904     350.5540
  7776     591.9390
  9648     899.2580
  11520    1303.161856
  3312     125.3550
  4896     247.9690
  6480     417.7960
  8064     634.9230
  9648     899.2580
  2592     85.26200
  3888     164.4730
  5184     275.3290
  6480     417.7960
  7776     591.9390
  1872     54.91000
  2880     100.1260
  3888     164.4730
  4896     247.9690
  5904     350.5540
  1152     34.36700
  1872     54.91000
  2592     85.26200
  3312     125.3550
  4032     175.2410
