# Size   Mem [Mb]
  4032     98.66600
  5904     186.4050
  7776     307.2000
  9648     460.9490
  11520     647.7230
  3312     73.69100
  4896     135.0720
  6480     220.0600
  8064     328.7020
  9648     460.9490
  2592     53.60700
  3888     93.27900
  5184     148.7610
  6480     220.0600
  7776     307.2000
  1872     38.40200
  2880     61.04800
  3888     93.27900
  4896     135.0720
  5904     186.4050
  1152     28.11100
  1872     38.40200
  2592     53.60700
  3312     73.69100
  4032     98.66600
