# Size   time [s]
  4032    57.6467   
  5904    129.0027   
  7776    281.4532   
  9648    487.5736   
  11520    689   
  3312    34.9921   
  4896    73.5636   
  6480    166.1047   
  8064    291.9316   
  9648    402.2619   
  2592    19.6417   
  3888    47.3678   
  5184    112.4935   
  6480    182.6658   
  7776    272.2742   
  1872    9.1141   
  2880    23.8445   
  3888    59.1353   
  4896    99.4006   
  5904    150.5773   
  1152    2.8439   
  1872    9.1093   
  2592    25.3026   
  3312    42.0888   
  4032    68.0964   
