# Size   Mem [Mb]
  4032     188.1180    
  5904     369.3310    
  7776     616.5620    
  9648     929.8130    
  3312     135.9620    
  4896     263.5650    
  6480     438.3830    
  8064     660.4580    
  2592     93.60400    
  3888     176.8910    
  5184     291.8130    
  6480     438.3830    
  1872     60.98300    
  2880     109.3800    
  3888     176.8560    
  4896     263.5630    
  5904     369.3290    
  1152     52.84700    
  1872     60.98300    
  2592     93.60200    
  3312     135.9390    
  4032     188.1160    
