# Size   Mem [Mb]
  4032     101.8500    
  5904     191.0450    
  7776     313.2760    
  9648     468.4740    
  3312     76.31500    
  4896     138.9250    
  6480     225.1410    
  8064     335.0050    
  2592     55.67800    
  3888     96.34800    
  5184     152.8400    
  6480     225.1410    
  1872     53.60700    
  2880     63.34700    
  3888     96.34600    
  4896     138.9230    
  5904     191.0430    
  1152     52.84700    
  1872     53.60700    
  2592     55.67600    
  3312     76.31300    
  4032     101.8480    
