# Size   time [s]
  4032    18.6529   
  5904    41.1964   
  7776    78.0020   
  9648    121.7194   
  11520    174.3267   
  3312    11.6063   
  4896    25.0412   
  6480    53.0002   
  8064    85.4285   
  9648    121.6014   
  2592    6.8125   
  3888    16.2133   
  5184    32.1868   
  6480    51.0131   
  7776    77.7334   
  1872    3.0982   
  2880    8.2881   
  3888    17.9037   
  4896    28.8362   
  5904    44.1040   
  1152    1.2454   
  1872    3.1059   
  2592    7.6985   
  3312    13.3103   
  4032    20.1812   
