# Size   Mem [Mb]
  4032     315.4230    
  5904     642.0490    
  7776    1115.717632   
  9648    1697.509376   
  3312     221.8940    
  4896     451.1970    
  6480     766.8890    
  8064    1197.153280   
  2592     146.2830    
  3888     295.2640    
  5184     502.1530    
  6480     766.8890    
  1872     88.49700    
  2880     174.3810    
  3888     295.2230    
  4896     451.1950    
  5904     642.0470    
  1152     52.84700    
  1872     88.49700    
  2592     146.2810    
  3312     221.8570    
  4032     315.4210    
