# Size   Mem [Mb]
  4032     101.9080    
  5904     191.1290    
  7776     313.3940    
  9648     468.6200    
  3312     76.36300    
  4896     138.9970    
  6480     225.2350    
  8064     335.1250    
  2592     55.71400    
  3888     96.40600    
  5184     152.9140    
  6480     225.2350    
  1872     53.60700    
  2880     63.38500    
  3888     96.40400    
  4896     138.9950    
  5904     191.1270    
  1152     52.84700    
  1872     53.60700    
  2592     55.71200    
  3312     76.36100    
  4032     101.9060    
